ï..BOROUGH,BUILDING.CLASS.CATEGORY,RESIDENTIAL.UNITS,LAND..SQUARE.FEET,GROSS..SQUARE.FEET,YEAR.BUILT,SALE.PRICE,MortgageRate,CovidDummy
StatenIsland,1 ONE FAMILY DWELLINGS,1,8000,3660,1998,315000,2.81,1
StatenIsland,1 ONE FAMILY DWELLINGS,1,6200,2580,1975,450000,3.13,1
StatenIsland,1 ONE FAMILY DWELLINGS,1,2500,1222,1925,525000,2.99,1
StatenIsland,1 ONE FAMILY DWELLINGS,1,1845,1854,1986,480000,3.51,0
StatenIsland,1 ONE FAMILY DWELLINGS,1,3989,2300,2004,720000,2.81,1
StatenIsland,1 ONE FAMILY DWELLINGS,1,1471,1172,1986,429000,2.72,1
StatenIsland,1 ONE FAMILY DWELLINGS,1,2550,1825,1986,550000,2.81,1
StatenIsland,1 ONE FAMILY DWELLINGS,1,2700,1320,1986,455500,2.99,1
StatenIsland,1 ONE FAMILY DWELLINGS,1,2700,1500,2000,410670,2.72,1
StatenIsland,1 ONE FAMILY DWELLINGS,1,1650,1548,2005,520000,3.13,1
StatenIsland,1 ONE FAMILY DWELLINGS,1,1650,1548,2005,530000,2.67,1
StatenIsland,1 ONE FAMILY DWELLINGS,1,1650,1548,2005,545000,2.9,1
StatenIsland,1 ONE FAMILY DWELLINGS,1,1333,1145,1994,458000,2.99,1
StatenIsland,1 ONE FAMILY DWELLINGS,1,1333,1145,1994,435000,2.91,1
StatenIsland,1 ONE FAMILY DWELLINGS,1,3700,1163,1925,650000,2.67,1
StatenIsland,1 ONE FAMILY DWELLINGS,1,11830,1700,2004,472000,3.15,1
StatenIsland,1 ONE FAMILY DWELLINGS,1,1650,1700,2004,580000,3.15,1
StatenIsland,1 ONE FAMILY DWELLINGS,1,2678,1344,2003,575000,2.72,1
StatenIsland,1 ONE FAMILY DWELLINGS,1,1648,1344,2003,518000,2.67,1
StatenIsland,1 ONE FAMILY DWELLINGS,1,2400,1500,2004,627000,2.72,1
StatenIsland,1 ONE FAMILY DWELLINGS,1,5200,1465,1930,631000,2.81,1
StatenIsland,1 ONE FAMILY DWELLINGS,1,8000,1375,1945,237000,3.5,1
StatenIsland,1 ONE FAMILY DWELLINGS,1,4000,1966,1935,797000,2.99,1
StatenIsland,1 ONE FAMILY DWELLINGS,1,8000,2960,1975,865000,3.13,1
StatenIsland,1 ONE FAMILY DWELLINGS,1,4000,2368,2000,835000,2.9,1
StatenIsland,1 ONE FAMILY DWELLINGS,1,6000,924,1940,480000,3.13,1
StatenIsland,1 ONE FAMILY DWELLINGS,1,8000,2870,1975,929000,2.9,1
StatenIsland,1 ONE FAMILY DWELLINGS,1,6850,1300,1940,550000,2.81,1
StatenIsland,1 ONE FAMILY DWELLINGS,1,7695,1040,1960,750000,2.91,1
StatenIsland,1 ONE FAMILY DWELLINGS,1,4700,2560,1970,270000,2.9,1
StatenIsland,1 ONE FAMILY DWELLINGS,1,6000,1346,1960,635000,3.45,0
